prod_cycle,base_id,color,start,end
7576,41611,0,14.553,69.253
7576,41612,0,50.503,105.203
7576,41613,2,77.694,133.694
7576,41614,2,108.043,164.043
7576,41615,2,120.793,213.593
7576,41616,0,135.006,189.706
7576,41617,0,160.424,251.924
7576,41618,0,171.586,263.086
7577,41619,2,14.425,70.425
7577,41620,1,32.849,87.549
7577,41621,1,47.888,103.888
7578,41622,1,10.202,64.902
7578,41623,2,24.336,80.336
7578,41624,1,50.093,104.793
7578,41625,1,73.674,129.674
7578,41626,1,84.121,138.821
7578,41627,0,100.377,228.677
7578,41628,1,117.958,172.658
7578,41629,1,142.598,198.598
7578,41630,2,150.914,243.714
7579,41631,2,3.769,59.769
7579,41632,0,28.51,83.21
7579,41633,2,42.476,98.476
7579,41634,2,53.355,330.155
7579,41635,2,77.131,133.131
7579,41636,2,89.989,293.189
7579,41637,2,102.581,158.581
7579,41638,0,123.31,178.01
7579,41639,1,144.968,200.968
7579,41640,2,175.834,231.834
7580,41641,0,4.278,58.978
7580,41642,0,22.325,113.825
7581,41643,1,3.963,58.663
7581,41644,0,24.475,152.775
7581,41645,0,56.511,111.211
7581,41646,0,74.523,239.623
7581,41647,1,118.604,174.604
7581,41648,0,130.037,184.737
7581,41649,2,139.018,231.818
7582,41650,2,6.034,62.034
7582,41651,0,19.767,74.467
7582,41652,1,31.549,87.549
7582,41653,1,40.101,131.601
7582,41654,1,48.897,103.597
7582,41655,2,62.499,118.499
7583,41656,1,20.445,75.145
7583,41657,2,43.174,99.174
7583,41658,1,53.281,107.981
7583,41659,0,75.842,167.342
7583,41660,1,86.816,141.516
7583,41661,1,101.186,157.186
7583,41662,0,119.544,211.044
7583,41663,2,138.936,194.936
7583,41664,2,157.078,249.878
7584,41665,0,5.147,59.847
7584,41666,2,13.582,69.582
7584,41667,0,37.295,91.995
7584,41668,0,57.897,149.397
7585,41669,0,0.63,55.33
7585,41670,0,11.517,139.817
7585,41671,1,33.25,87.95
7585,41672,2,46.947,102.947
7585,41673,1,59.2,113.9
7586,41674,0,13.041,67.741
7586,41675,1,37.396,93.396
7586,41676,2,49.231,142.031
7586,41677,1,61.699,116.399
7587,41678,1,0.109,54.809
7587,41679,1,16.324,72.324
7587,41680,0,42.069,96.769
7587,41681,1,56.495,112.495
7587,41682,1,81.005,135.705
7588,41683,1,6.503,61.203
7588,41684,0,35.647,90.347
7588,41685,0,45.396,173.696
7588,41686,1,58.043,114.043
7588,41687,1,73.342,128.042
7589,41688,1,8.581,63.281
7589,41689,2,16.712,72.712
7589,41690,1,38.915,93.615
7589,41691,1,58.763,114.763
7590,41692,2,13.739,69.739
7590,41693,1,27.137,81.837
7591,41694,1,2.313,57.013
7591,41695,0,29.475,84.175
7591,41696,2,41.156,97.156
7591,41697,0,53.579,145.079
7591,41698,2,64.355,157.155
7592,41699,2,11.956,67.956
7593,41700,0,5.78,60.48
7593,41701,2,32.701,88.701
7593,41702,1,63.729,118.429
7593,41703,2,97.055,153.055
7593,41704,2,107.916,200.716
7593,41705,1,117.917,172.617
7593,41706,1,146.298,237.798
7593,41707,1,183.334,274.834
7593,41708,1,205.55,261.55
7593,41709,0,226.843,318.343
7594,41710,1,9.82,64.52
7595,41711,0,26.551,81.251
7595,41712,0,55.682,110.382
7596,41713,2,1.117,57.117
7596,41714,1,25.054,79.754
7596,41715,1,33.126,89.126
7597,41716,1,11.337,66.037
7597,41717,1,35.114,91.114
7597,41718,0,59.384,114.084
7597,41719,0,70.136,161.636
7598,41720,1,8.684,63.384
7599,41721,0,1.963,56.663
7599,41722,1,17.368,73.368
7599,41723,0,34.365,89.065
7599,41724,2,53.036,109.036
7599,41725,2,68.102,160.902
7599,41726,2,76.364,205.964
7600,41727,0,2.528,57.228
7600,41728,0,19.683,147.983
7600,41729,2,32.545,88.545
7600,41730,0,49.284,103.984
7600,41731,2,59.331,115.331
7600,41732,1,70.047,162.847
7600,41733,2,82.961,212.561
7600,41734,0,96.544,224.844
7600,41735,1,120.184,174.884
7601,41736,2,6.152,62.152
7601,41737,0,31.631,86.331
7601,41738,0,42.747,134.247
7601,41739,2,63.075,119.075
7602,41740,2,14.303,70.303
7602,41741,1,29.834,84.534
7602,41742,1,53.91,109.91
7602,41743,1,75.332,130.032
7602,41744,2,84.399,140.399
7602,41745,2,102.55,195.35
7603,41746,0,9.678,64.378
7604,41747,1,3.884,58.584
7604,41748,1,18.261,74.261
7604,41749,1,35.079,89.779
7604,41750,0,51.206,179.506
7604,41751,2,61.835,117.835
7604,41752,1,78.389,133.089
7605,41753,1,2.751,57.451
7606,41754,2,7.104,63.104
7606,41755,1,20.43,75.13
7606,41756,0,34.911,126.411
7606,41757,1,43.748,99.748
7607,41758,0,4.651,59.351
7607,41759,1,13.813,69.813
7607,41760,1,49.325,104.025
7608,41761,0,11.736,66.436
7608,41762,0,27.703,119.203
7609,41763,0,18.791,73.491
7609,41764,2,34.587,90.587
7609,41765,1,62.313,117.013
7609,41766,2,71.132,127.132
7609,41767,0,88.215,142.915
7609,41768,1,103.078,159.078
7609,41769,1,113.748,168.448
7610,41770,0,22.129,76.829
7610,41771,2,34.197,90.197
7610,41772,1,53.446,108.146
7610,41773,1,66.623,122.623
7610,41774,1,92.762,147.462
7610,41775,0,102.82,194.32
7610,41776,0,111.099,239.399
7611,41777,2,17.424,73.424
7611,41778,1,25.544,117.044
7611,41779,1,45.015,101.015
7611,41780,0,77.074,131.774
7611,41781,2,94.755,150.755
7611,41782,2,106.611,236.211
7611,41783,0,115.001,169.701
7611,41784,1,134.401,190.401
7611,41785,0,146.073,200.773
7611,41786,2,157.55,287.15
7612,41787,0,15.109,69.809
7612,41788,1,30.367,86.367
7612,41789,0,40.505,95.205
7612,41790,1,71.392,126.092
7612,41791,1,94.525,150.525
7612,41792,2,104.918,197.718
7613,41793,0,0.683,55.383
7613,41794,0,13.759,142.059
7613,41795,1,26.173,80.873
7613,41796,1,37.069,93.069
7614,41797,0,6.031,60.731
7614,41798,0,17.281,108.781
7614,41799,1,28.095,84.095
7614,41800,2,54.919,147.719
7615,41801,1,3.523,58.223
7615,41802,2,14.952,70.952
7616,41803,0,6.798,61.498
7616,41804,0,33.371,88.071
7616,41805,1,57.977,113.977
7616,41806,0,68.108,122.808
7616,41807,2,87.311,143.311
7616,41808,2,123.742,179.742
7616,41809,2,132.606,225.406
7616,41810,1,152.973,207.673
7616,41811,1,180.717,235.417
7616,41812,1,213.0,267.7
